Chave_Produto;Codigo_Produto;Nome_Produto;Sub_Categoria;Categoria_Produto;Cor;Tamanho;Linha_Produto;Modelo_Produto;Descricao_Produto;Status_Produto
74;HN-8320;Hex Nut 4;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
75;HN-9161;Hex Nut 18;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
76;HN-9168;Hex Nut 19;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
77;HT-2981;Handlebar Tube;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
78;HT-8019;Head Tube;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
79;HU-6280;LL Hub;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
80;HU-8998;HL Hub;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
81;KW-4091;Keyed Washer;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
82;LE-1000;External Lock Washer 3;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
83;LE-1200;External Lock Washer 4;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
84;LE-1201;External Lock Washer 9;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
85;LE-1400;External Lock Washer 5;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
86;LE-3800;External Lock Washer 7;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
87;LE-5160;External Lock Washer 6;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
88;LE-6000;External Lock Washer 1;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
89;LE-7160;External Lock Washer 8;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
90;LE-8000;External Lock Washer 2;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
91;LI-1000;Internal Lock Washer 3;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
92;LI-1200;Internal Lock Washer 4;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
93;LI-1201;Internal Lock Washer 9;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
94;LI-1400;Internal Lock Washer 5;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
95;LI-3800;Internal Lock Washer 7;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
96;LI-5160;Internal Lock Washer 6;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
97;LI-5800;Internal Lock Washer 10;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
98;LI-6000;Internal Lock Washer 1;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
99;LI-7160;Internal Lock Washer 8;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
100;LI-8000;Internal Lock Washer 2;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
101;LJ-1213;Thin-Jam Lock Nut 9;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
102;LJ-1220;Thin-Jam Lock Nut 10;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
103;LJ-1420;Thin-Jam Lock Nut 1;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
104;LJ-1428;Thin-Jam Lock Nut 2;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
105;LJ-3410;Thin-Jam Lock Nut 15;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
106;LJ-3416;Thin-Jam Lock Nut 16;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
107;LJ-3816;Thin-Jam Lock Nut 5;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
108;LJ-3824;Thin-Jam Lock Nut 6;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
109;LJ-5161;Thin-Jam Lock Nut 3;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
110;LJ-5162;Thin-Jam Lock Nut 4;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
111;LJ-5811;Thin-Jam Lock Nut 13;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
112;LJ-5818;Thin-Jam Lock Nut 14;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
113;LJ-7161;Thin-Jam Lock Nut 7;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
114;LJ-7162;Thin-Jam Lock Nut 8;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
115;LJ-9080;Thin-Jam Lock Nut 12;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
116;LJ-9161;Thin-Jam Lock Nut 11;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
117;LN-1024;Lock Nut 5;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
118;LN-1032;Lock Nut 6;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
119;LN-1213;Lock Nut 16;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
120;LN-1220;Lock Nut 17;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
121;LN-1224;Lock Nut 7;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
122;LN-1420;Lock Nut 8;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
123;LN-1428;Lock Nut 9;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
124;LN-3410;Lock Nut 22;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
125;LN-3416;Lock Nut 23;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
126;LN-3816;Lock Nut 12;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
127;LN-3824;Lock Nut 13;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
128;LN-4400;Lock Nut 1;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
129;LN-5161;Lock Nut 10;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
130;LN-5162;Lock Nut 11;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
131;LN-5400;Lock Nut 2;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
132;LN-5811;Lock Nut 20;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
133;LN-5818;Lock Nut 21;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
134;LN-6320;Lock Nut 3;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
135;LN-7161;Lock Nut 14;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
136;LN-7162;Lock Nut 15;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
137;LN-8320;Lock Nut 4;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
138;LN-9080;Lock Nut 19;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
139;LN-9161;Lock Nut 18;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
140;LR-2398;Lock Ring;NULL;NULL;Prata;NULL;NULL;NULL;NULL;Atualizado
141;LR-8520;Lower Head Race;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
142;LW-1000;Lock Washer 4;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
143;LW-1200;Lock Washer 5;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
144;LW-1201;Lock Washer 10;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
145;LW-1400;Lock Washer 6;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
146;LW-3400;Lock Washer 13;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
147;LW-3800;Lock Washer 8;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
148;LW-4000;Lock Washer 1;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
149;LW-5160;Lock Washer 7;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
150;LW-5800;Lock Washer 12;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
151;LW-6000;Lock Washer 2;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
152;LW-7160;Lock Washer 9;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
153;LW-8000;Lock Washer 3;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
154;LW-9160;Lock Washer 11;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
155;MA-7075;Metal Angle;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
156;MB-2024;Metal Bar 1;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
157;MB-6061;Metal Bar 2;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
158;MP-2066;Metal Plate 2;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
159;MP-2503;Metal Plate 1;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
160;MP-4960;Metal Plate 3;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
161;MS-0253;Metal Sheet 2;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
162;MS-1256;Metal Sheet 3;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
163;MS-1981;Metal Sheet 7;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
164;MS-2259;Metal Sheet 4;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
165;MS-2341;Metal Sheet 5;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
166;MS-2348;Metal Sheet 6;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
167;MS-6061;Metal Sheet 1;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
168;MT-1000;Metal Tread Plate;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
169;NI-4127;LL Nipple;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
170;NI-9522;HL Nipple;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
171;PA-187B;Paint - Black;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
172;PA-361R;Paint - Red;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
173;PA-529S;Paint - Silver;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
174;PA-632U;Paint - Blue;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
175;PA-823Y;Paint - Yellow;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
176;PB-6109;Pinch Bolt;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
177;RA-2345;Cup-Shaped Race;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
178;RA-7490;Cone-Shaped Race;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
179;RF-9198;Reflector;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
180;RM-M464;LL Mountain Rim;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
181;RM-M692;ML Mountain Rim;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
182;RM-M823;HL Mountain Rim;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
183;RM-R436;LL Road Rim;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
184;RM-R600;ML Road Rim;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
185;RM-R800;HL Road Rim;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
186;RM-T801;Touring Rim;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
187;SA-M198;LL Mountain Seat Assembly;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
188;SA-M237;ML Mountain Seat Assembly;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
189;SA-M687;HL Mountain Seat Assembly;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
190;SA-R127;LL Road Seat Assembly;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
191;SA-R430;ML Road Seat Assembly;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
192;SA-R522;HL Road Seat Assembly;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
193;SA-T467;LL Touring Seat Assembly;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
194;SA-T612;ML Touring Seat Assembly;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
195;SA-T872;HL Touring Seat Assembly;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
196;SD-2342;LL Spindle/Axle;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
197;SD-9872;HL Spindle/Axle;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
198;SH-4562;LL Shell;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
199;SH-9312;HL Shell;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
200;SK-9283;Spokes;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
201;SL-0931;Seat Lug;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
202;SM-9087;Stem;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
203;SP-2981;Seat Post;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
204;SR-2098;Steerer;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
205;SS-2985;Seat Stays;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
206;ST-9828;Seat Tube;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
207;TO-2301;Top Tube;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
208;TP-0923;Tension Pulley;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
209;RC-0291;Rear Derailleur Cage;NULL;NULL;Prata;NULL;NULL;NULL;NULL;Atualizado
210;FR-R92B-58;HL Road Frame - Black, 58;Road Frames;Componentes;Preto;58;R ;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";Atualizado
211;FR-R92R-58;HL Road Frame - Red, 58;Road Frames;Componentes;Vermelho;58;R ;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";Atualizado
212;HL-U509-R;Sport-100 Helmet, Red;Helmets;Acessorios;Vermelho;NULL;S ;Sport-100;Universal fit, well-vented, lightweight , snap-on visor.;Desatualizado
213;HL-U509-R;Sport-100 Helmet, Red;Helmets;Acessorios;Vermelho;NULL;S ;Sport-100;Universal fit, well-vented, lightweight , snap-on visor.;Desatualizado
214;HL-U509-R;Sport-100 Helmet, Red;Helmets;Acessorios;Vermelho;NULL;S ;Sport-100;Universal fit, well-vented, lightweight , snap-on visor.;Atualizado
215;HL-U509;Sport-100 Helmet, Black;Helmets;Acessorios;Preto;NULL;S ;Sport-100;Universal fit, well-vented, lightweight , snap-on visor.;Desatualizado
216;HL-U509;Sport-100 Helmet, Black;Helmets;Acessorios;Preto;NULL;S ;Sport-100;Universal fit, well-vented, lightweight , snap-on visor.;Desatualizado
217;HL-U509;Sport-100 Helmet, Black;Helmets;Acessorios;Preto;NULL;S ;Sport-100;Universal fit, well-vented, lightweight , snap-on visor.;Atualizado
218;SO-B909-M;Mountain Bike Socks, M;Socks;Roupas;Branco;M;M ;Mountain Bike Socks;Combination of natural and synthetic fibers stays dry and provides just the right cushioning.;Desatualizado
219;SO-B909-L;Mountain Bike Socks, L;Socks;Roupas;Branco;L;M ;Mountain Bike Socks;Combination of natural and synthetic fibers stays dry and provides just the right cushioning.;Desatualizado
220;HL-U509-B;Sport-100 Helmet, Blue;Helmets;Acessorios;Azul;NULL;S ;Sport-100;Universal fit, well-vented, lightweight , snap-on visor.;Desatualizado
221;HL-U509-B;Sport-100 Helmet, Blue;Helmets;Acessorios;Azul;NULL;S ;Sport-100;Universal fit, well-vented, lightweight , snap-on visor.;Desatualizado
222;HL-U509-B;Sport-100 Helmet, Blue;Helmets;Acessorios;Azul;NULL;S ;Sport-100;Universal fit, well-vented, lightweight , snap-on visor.;Atualizado
223;CA-1098;AWC Logo Cap;Caps;Roupas;Multi;NULL;S ;Cycling Cap;"Traditional style with a flip-up brim; one-size fits all.";Desatualizado
224;CA-1098;AWC Logo Cap;Caps;Roupas;Multi;NULL;S ;Cycling Cap;"Traditional style with a flip-up brim; one-size fits all.";Desatualizado
225;CA-1098;AWC Logo Cap;Caps;Roupas;Multi;NULL;S ;Cycling Cap;"Traditional style with a flip-up brim; one-size fits all.";Atualizado
226;LJ-0192-S;Long-Sleeve Logo Jersey, S;Jerseys;Roupas;Multi;S;S ;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;Desatualizado
227;LJ-0192-S;Long-Sleeve Logo Jersey, S;Jerseys;Roupas;Multi;S;S ;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;Desatualizado
228;LJ-0192-S;Long-Sleeve Logo Jersey, S;Jerseys;Roupas;Multi;S;S ;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;Atualizado
229;LJ-0192-M;Long-Sleeve Logo Jersey, M;Jerseys;Roupas;Multi;M;S ;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;Desatualizado
230;LJ-0192-M;Long-Sleeve Logo Jersey, M;Jerseys;Roupas;Multi;M;S ;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;Desatualizado
231;LJ-0192-M;Long-Sleeve Logo Jersey, M;Jerseys;Roupas;Multi;M;S ;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;Atualizado
232;LJ-0192-L;Long-Sleeve Logo Jersey, L;Jerseys;Roupas;Multi;L;S ;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;Desatualizado
233;LJ-0192-L;Long-Sleeve Logo Jersey, L;Jerseys;Roupas;Multi;L;S ;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;Desatualizado
234;LJ-0192-L;Long-Sleeve Logo Jersey, L;Jerseys;Roupas;Multi;L;S ;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;Atualizado
235;LJ-0192-X;Long-Sleeve Logo Jersey, XL;Jerseys;Roupas;Multi;XL;S ;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;Desatualizado
236;LJ-0192-X;Long-Sleeve Logo Jersey, XL;Jerseys;Roupas;Multi;XL;S ;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;Desatualizado
237;LJ-0192-X;Long-Sleeve Logo Jersey, XL;Jerseys;Roupas;Multi;XL;S ;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;Atualizado
238;FR-R92R-62;HL Road Frame - Red, 62;Road Frames;Componentes;Vermelho;62;R ;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";Desatualizado
239;FR-R92R-62;HL Road Frame - Red, 62;Road Frames;Componentes;Vermelho;62;R ;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";Desatualizado
240;FR-R92R-62;HL Road Frame - Red, 62;Road Frames;Componentes;Vermelho;62;R ;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";Atualizado
241;FR-R92R-44;HL Road Frame - Red, 44;Road Frames;Componentes;Vermelho;44;R ;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";Desatualizado
